
2025/04/09 (21:36:55) | ===> btop++ v.1.4.0
2025/04/09 (21:36:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/09 (21:37:10) | ===> btop++ v.1.4.0
2025/04/09 (21:37:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/09 (22:03:14) | ===> btop++ v.1.4.0
2025/04/09 (22:03:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/09 (22:31:56) | ===> btop++ v.1.4.0
2025/04/09 (22:31:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/11 (17:36:21) | ===> btop++ v.1.4.0
2025/04/11 (17:36:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/11 (17:39:44) | ===> btop++ v.1.4.0
2025/04/11 (17:39:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/11 (17:56:47) | ===> btop++ v.1.4.0
2025/04/11 (17:56:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/11 (18:09:53) | ===> btop++ v.1.4.0
2025/04/11 (18:09:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/11 (18:23:20) | ===> btop++ v.1.4.0
2025/04/11 (18:23:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/11 (18:23:33) | ===> btop++ v.1.4.0
2025/04/11 (18:23:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/11 (21:29:47) | ===> btop++ v.1.4.0
2025/04/11 (21:29:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/11 (21:30:15) | ===> btop++ v.1.4.0
2025/04/11 (21:30:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/11 (21:30:30) | ===> btop++ v.1.4.0
2025/04/11 (21:30:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/11 (21:39:43) | ===> btop++ v.1.4.0
2025/04/11 (21:39:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/11 (21:40:28) | ===> btop++ v.1.4.0
2025/04/11 (21:40:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/11 (22:21:57) | ===> btop++ v.1.4.0
2025/04/11 (22:21:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/12 (14:17:26) | ===> btop++ v.1.4.0
2025/04/12 (14:17:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/14 (21:52:24) | ===> btop++ v.1.4.0
2025/04/14 (21:52:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/17 (22:44:55) | ===> btop++ v.1.4.0
2025/04/17 (22:44:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
